Player; Level; Round; Score
Audrey;1;1; Time : 120,52
 ; ; ; Errors : 3
;;2; Time : 9,34
 ; ; ; Errors : 0
;;3; Time : 10,11
 ; ; ; Errors : 0
;;4; Time : 139,97
 ; ; ; Errors : 3
Lucas;1;1; Time : 22,87
 ; ; ; Errors : 2
;;2; Time : 9,85
 ; ; ; Errors : 0
;;3; Time : 46,82
 ; ; ; Errors : 5
;;4; Time : 79,54
 ; ; ; Errors : 7
;2;1; Time : 24,11
 ; ; ; Errors : 1
;;2; Time : 127,43
 ; ; ; Errors : 1
;;3; Time : 15,96
 ; ; ; Errors : 1
;;4; Time : 167,50
 ; ; ; Errors : 3
;3;1; Time : 20,71
 ; ; ; Errors : 1
;;2; Time : 21,32
 ; ; ; Errors : 2
;;3; Time : 16,54
 ; ; ; Errors : 1
;;4; Time : 58,57
 ; ; ; Errors : 4
;4;1; Time : 18,04
 ; ; ; Errors : 1
;;2; Time : 14,44
 ; ; ; Errors : 1
;;3; Time : 9,44
 ; ; ; Errors : 0
;;4; Time : 41,93
 ; ; ; Errors : 2
Alec;1;1; Time : 10,18
 ; ; ; Errors : 0
;;2; Time : 22,03
 ; ; ; Errors : 1
;;3; Time : 22,12
 ; ; ; Errors : 1
;;4; Time : 54,33
 ; ; ; Errors : 2
;2;1; Time : 25,83
 ; ; ; Errors : 0
;;2; Time : 18,72
 ; ; ; Errors : 0
;;3; Time : 17,18
 ; ; ; Errors : 0
;;4; Time : 61,74
 ; ; ; Errors : 0
Alec;1;1; Time : 10,18
 ; ; ; Errors : 0
;;2; Time : 22,03
 ; ; ; Errors : 1
;;3; Time : 22,12
 ; ; ; Errors : 1
;;4; Time : 54,33
 ; ; ; Errors : 2
;2;1; Time : 25,83
 ; ; ; Errors : 0
;;2; Time : 18,72
 ; ; ; Errors : 0
;;3; Time : 17,18
 ; ; ; Errors : 0
;;4; Time : 61,74
 ; ; ; Errors : 0
;3;1; Time : 17,80
 ; ; ; Errors : 0
;;2; Time : 9,99
 ; ; ; Errors : 0
;;3; Time : 9,78
 ; ; ; Errors : 0
;;4; Time : 37,57
 ; ; ; Errors : 0
;4;1; Time : 32,22
 ; ; ; Errors : 2
;;2; Time : 14,12
 ; ; ; Errors : 0
;;3; Time : 16,35
 ; ; ; Errors : 0
;;4; Time : 62,69
 ; ; ; Errors : 2
