Player; Difficulty; Level; Round; Score
Damien;Easy;1;1; Time : 5,68 s
; ; ; ; Errors : 0
;;;2; Time : 4,89 s
; ; ; ; Errors : 0
;;;3; Time : 4,54 s
; ; ; ; Errors : 0
;;; Total; Time : 15,11 s
; ; ; ; Errors : 0
Damien;Normal;1;1; Time : 7,69 s
; ; ; ; Errors : 0
;;;2; Time : 11,33 s
; ; ; ; Errors : 0
;;;3; Time : 10,72 s
; ; ; ; Errors : 0
;;; Total; Time : 29,74 s
; ; ; ; Errors : 0
; ;2;1; Time : 9,65 s
; ; ; ; Errors : 0
;;;2; Time : 7,88 s
; ; ; ; Errors : 0
;;;3; Time : 19,20 s
; ; ; ; Errors : 1
;;; Total; Time : 36,73 s
; ; ; ; Errors : 1
; ;3;1; Time : 10,18 s
; ; ; ; Errors : 0
;;;2; Time : 7,07 s
; ; ; ; Errors : 0
;;;3; Time : 8,49 s
; ; ; ; Errors : 0
;;; Total; Time : 25,74 s
; ; ; ; Errors : 0
; ;4;1; Time : 10,58 s
; ; ; ; Errors : 0
;;;2; Time : 7,89 s
; ; ; ; Errors : 0
;;;3; Time : 9,47 s
; ; ; ; Errors : 0
;;; Total; Time : 27,94 s
; ; ; ; Errors : 0
; ;5;1; Time : 10,79 s
; ; ; ; Errors : 0
;;;2; Time : 10,90 s
; ; ; ; Errors : 0
;;;3; Time : 12,27 s
; ; ; ; Errors : 0
;;; Total; Time : 33,96 s
; ; ; ; Errors : 0
; ;6;1; Time : 30,20 s
; ; ; ; Errors : 2
;;;2; Time : 8,92 s
; ; ; ; Errors : 0
;;;3; Time : 8,66 s
; ; ; ; Errors : 0
;;; Total; Time : 47,78 s
; ; ; ; Errors : 2
; ;7;1; Time : 15,18 s
; ; ; ; Errors : 0
;;;2; Time : 18,66 s
; ; ; ; Errors : 1
;;;3; Time : 30,96 s
; ; ; ; Errors : 2
;;; Total; Time : 1 min 04,79 s
; ; ; ; Errors : 3
; ;8;1; Time : 34,50 s
; ; ; ; Errors : 1
;;;2; Time : 16,54 s
; ; ; ; Errors : 1
;;;3; Time : 11,03 s
; ; ; ; Errors : 0
;;; Total; Time : 1 min 02,07 s
; ; ; ; Errors : 2
