Player; Level; Round; Score
Eliot;1;1; Time : 15,82
 ; ; ; Errors : 1
;;2; Time : 9,02
 ; ; ; Errors : 0
;;3; Time : 10,39
 ; ; ; Errors : 0
;;4; Time : 35,22
 ; ; ; Errors : 1
Eliot;1;1; Time : 20,52
 ; ; ; Errors : 1
;;2; Time : 22,26
 ; ; ; Errors : 1
;;3; Time : 10,60
 ; ; ; Errors : 0
;;4; Time : 53,38
 ; ; ; Errors : 2
Eliot;1;1; Time : 0 min 09,18 s
 ; ; ; Errors : 0
;;2; Time : 0 min 06,74 s
 ; ; ; Errors : 0
;;3; Time : 0 min 07,53 s
 ; ; ; Errors : 0
;;4; Time : 0 min 23,45 s
 ; ; ; Errors : 0
Eliot;1;1; Time : 8,24 s
 ; ; ; Errors : 0
;;2; Time : 14,42 s
 ; ; ; Errors : 0
;;3; Time : 37,17 s
 ; ; ; Errors : 1
;;4; Time : 59,84 s
 ; ; ; Errors : 1
Eliot;1;1; Time : 31,23 s
 ; ; ; Errors : 3
;;2; Time : 10,80 s
 ; ; ; Errors : 0
;;3; Time : 50,93 s
 ; ; ; Errors : 0
;;4; Time : 1 min 32,96 s
 ; ; ; Errors : 3
